Student_ID,Name,Gender,Class_Room,Travel_Method,Math_Score,Science_Score,Study_Hours,Absence_Days,Club
S001,Student001,Male,Room_A,Bus,62,66,1.20,5,Sports
S002,Student002,Female,Room_B,Car,64,68,1.40,4,Music
S003,Student003,Male,Room_C,Walk,66,70,1.60,3,Art
S004,Student004,Female,Room_D,Bicycle,68,72,1.80,2,Science
S005,Student005,Male,Room_E,Van,70,74,2.00,1,Drama
S006,Student006,Female,Room_A,Bus,72,76,2.20,0,Math
S007,Student007,Male,Room_B,Car,74,78,2.40,2,Sports
S008,Student008,Female,Room_C,Walk,76,80,2.60,3,Music
S009,Student009,Male,Room_D,Bicycle,78,82,2.80,4,Art
S010,Student010,Female,Room_E,Van,80,84,3.00,5,Science
S011,Student011,Male,Room_A,Bus,82,86,3.20,1,Drama
S012,Student012,Female,Room_B,Car,84,88,3.40,0,Math
S013,Student013,Male,Room_C,Walk,86,90,3.60,2,Sports
S014,Student014,Female,Room_D,Bicycle,88,92,3.80,3,Music
S015,Student015,Male,Room_E,Van,90,94,4.00,4,Art
S016,Student016,Female,Room_A,Bus,92,96,4.20,5,Science
S017,Student017,Male,Room_B,Car,94,98,4.40,0,Drama
S018,Student018,Female,Room_C,Walk,96,100,4.60,1,Math
S019,Student019,Male,Room_D,Bicycle,98,65,4.80,2,Sports
S020,Student020,Female,Room_E,Van,60,67,1.00,3,Music
S021,Student021,Male,Room_A,Bus,62,69,1.20,4,Art
S022,Student022,Female,Room_B,Car,64,71,1.40,5,Science
S023,Student023,Male,Room_C,Walk,66,73,1.60,0,Drama
S024,Student024,Female,Room_D,Bicycle,68,75,1.80,1,Math
S025,Student025,Male,Room_E,Van,70,77,2.00,2,Sports
S026,Student026,Female,Room_A,Bus,72,79,2.20,3,Music
S027,Student027,Male,Room_B,Car,74,81,2.40,4,Art
S028,Student028,Female,Room_C,Walk,76,83,2.60,5,Science
S029,Student029,Male,Room_D,Bicycle,78,85,2.80,0,Drama
S030,Student030,Female,Room_E,Van,80,87,3.00,1,Math
S031,Student031,Male,Room_A,Bus,82,89,3.20,2,Sports
S032,Student032,Female,Room_B,Car,84,91,3.40,3,Music
S033,Student033,Male,Room_C,Walk,86,93,3.60,4,Art
S034,Student034,Female,Room_D,Bicycle,88,95,3.80,5,Science
S035,Student035,Male,Room_E,Van,90,97,4.00,0,Drama
