Student_ID,Name,Gender,Class_Room,Travel_Method,Math_Score,Science_Score,Study_Hours,Absence_Days,Club
S001,Student001,Male,Room_A,Bus,58,61,1.10,4,Sports
S002,Student002,Female,Room_B,Car,72,75,2.70,1,Music
S003,Student003,Male,Room_C,Walk,65,69,2.00,2,Art
S004,Student004,Female,Room_A,Bus,81,84,3.80,0,Science
S005,Student005,Male,Room_E,Van,69,73,2.40,2,Drama
S006,Student006,Female,Room_D,Bicycle,77,80,3.10,1,Math
S007,Student007,Male,Room_A,Bus,54,59,1.00,5,Sports
S008,Student008,Female,Room_B,Car,88,91,4.70,0,Science
S009,Student009,Male,Room_C,Walk,62,66,1.80,3,Art
S010,Student010,Female,Room_E,Van,74,79,2.90,1,Music
S011,Student011,Male,Room_A,Bus,83,86,4.00,0,Sports
S012,Student012,Female,Room_D,Bicycle,67,70,2.10,2,Math
S013,Student013,Male,Room_B,Car,91,93,4.90,0,Science
S014,Student014,Female,Room_C,Walk,59,64,1.30,4,Drama
S015,Student015,Male,Room_E,Van,71,74,2.60,2,Art
S016,Student016,Female,Room_A,Bus,76,81,3.30,1,Math
S017,Student017,Male,Room_B,Car,64,68,1.90,3,Sports
S018,Student018,Female,Room_C,Walk,86,89,4.40,0,Music
S019,Student019,Male,Room_D,Bicycle,73,77,2.80,1,Science
S020,Student020,Female,Room_E,Van,61,65,1.50,3,Drama
S021,Student021,Male,Room_A,Bus,79,83,3.50,1,Sports
S022,Student022,Female,Room_B,Car,68,72,2.20,2,Math
S023,Student023,Male,Room_C,Walk,57,60,1.20,5,Art
S024,Student024,Female,Room_D,Bicycle,84,88,4.10,0,Science
S025,Student025,Male,Room_E,Van,70,73,2.50,2,Music
S026,Student026,Female,Room_A,Bus,75,78,3.00,1,Math
S027,Student027,Male,Room_B,Car,82,85,3.90,0,Sports
S028,Student028,Female,Room_C,Walk,66,70,2.10,2,Art
S029,Student029,Male,Room_D,Bicycle,89,92,4.80,0,Science
S030,Student030,Female,Room_E,Van,63,67,1.70,3,Drama
S031,Student031,Male,Room_A,Bus,78,82,3.40,1,Sports
S032,Student032,Female,Room_B,Car,71,76,2.80,1,Music
S033,Student033,Male,Room_C,Walk,56,61,1.10,4,Art
S034,Student034,Female,Room_D,Bicycle,85,87,4.20,0,Science
S035,Student035,Male,Room_E,Van,69,71,2.30,2,Drama
S036,Student036,Female,Room_A,Bus,74,79,3.00,1,Math
S037,Student037,Male,Room_B,Car,90,94,5.00,0,Sports
S038,Student038,Female,Room_C,Walk,60,63,1.40,4,Music
S039,Student039,Male,Room_D,Bicycle,72,76,2.70,2,Art
S040,Student040,Female,Room_E,Van,80,84,3.60,1,Science
S041,Student041,Male,Room_A,Bus,65,69,2.00,2,Drama
S042,Student042,Female,Room_B,Car,87,90,4.60,0,Math
S043,Student043,Male,Room_C,Walk,58,62,1.30,4,Sports
S044,Student044,Female,Room_A,Bus,77,81,3.20,1,Science
